model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_ffan_ep8,fan,,dev,0.016943007119205773,0.9321631878557874,0.11956521739130435,0.2275320970042796,0.15675675675675677,1083,2349,46841,319
bert,132,16,5e-05,,fan,,test,,0.9302738741616097,0.11039402173913043,0.27105921601334443,0.15689114168476948,874,2619,46278,325
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f1_ep1,1,,dev,0.31483769345740575,0.9715581797235023,0.20555555555555555,0.12802768166089964,0.1577825159914712,1764,1001,94192,259
bert,132,16,5e-05,,1,,test,,0.9685017831090939,0.26746323529411764,0.11179408374951978,0.15768084529937687,2312,797,95304,291
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f2_ep4,2,,dev,0.09825516666634648,0.91087493921219,0.09569190600522193,0.2815981559738763,0.1428432232290753,1870,6927,89174,733
bert,132,16,5e-05,,2,,test,,0.8864247311827957,0.09902026062969657,0.34008493956223457,0.15338146456460883,2020,9472,88651,1041
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f3_ep2,3,,dev,0.23713953192007348,0.8964460784313726,0.0978201930376315,0.2946749428291408,0.14688161537208924,2159,8319,89804,902
bert,132,16,5e-05,,3,,test,,0.9259428967090257,0.09254282835068861,0.2275919041718298,0.1315820895522388,1870,5403,90384,551
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f4_ep8,4,,dev,0.026500070483676415,0.9233158194851743,0.09198339188757586,0.2379182156133829,0.13267303927214097,1845,5686,90101,576
bert,132,16,5e-05,,4,,test,,0.9297338813467846,0.10678899082568807,0.23429951690821257,0.14671036047390976,1902,4868,88996,582
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f5_ep8,5,,dev,0.0250994597375211,0.9246689085398763,0.10881678138315307,0.2673107890499195,0.15467039366410437,1820,5438,88426,664
bert,132,16,5e-05,,5,,test,,0.9329012467840887,0.09570241964608162,0.23013460703430308,0.13518683841346765,1773,5008,93749,530
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f6_ep10,6,,dev,0.011513938569894657,0.9372353057589551,0.10157790927021697,0.2236213634389926,0.139698901396989,1788,4555,94202,515
bert,132,16,5e-05,,6,,test,,0.9396932043550411,0.0630391506303915,0.14186162269785962,0.08728943338437979,1724,4236,92583,285
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f7_ep3,7,,dev,0.14306391954160064,0.9380135184360707,0.08936764412527429,0.2229965156794425,0.12759897465109657,1561,4565,92254,448
bert,132,16,5e-05,,7,,test,,0.9317374438546345,0.08731982452475455,0.1527777777777778,0.11112588063272631,2318,4369,90855,418
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f8_ep2,8,,dev,0.24321447433088905,0.93083911800735,0.07988350322446432,0.14035087719298245,0.10181625348004773,2352,4423,90801,384
bert,132,16,5e-05,,8,,test,,0.9237518236343005,0.07839974189385385,0.2113962592431492,0.11437985408331372,1813,5713,90692,486
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f9_ep7,9,,dev,0.03010696118886772,0.8862254822499595,0.0561574396183282,0.24575902566333188,0.09142394822006474,1734,9496,86909,565
bert,132,16,5e-05,,9,,test,,0.9159070370515894,0.069670361307039,0.18745158791634392,0.10158463637317662,2098,6463,92759,484
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f10_ep7,10,,dev,0.02427371900461125,0.937222505991906,0.09538984491183344,0.17389620449264137,0.12319934147345316,2133,4258,94964,449
bert,132,16,5e-05,,10,,test,,0.9254443712969058,0.044145873320537425,0.12506178942165103,0.06525664173329894,1770,5478,89715,253
