model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f8_ep3,8,,dev,0.17960408850893622,0.9464066966108616,0.09294041450777202,0.10489766081871345,0.09855769230769232,2449,2801,92423,287
bert,132,21,5e-05,,8,,test,,0.9397795428756687,0.07328494497775696,0.13614615050021747,0.09528158295281583,1986,3958,92447,313
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f9_ep2,9,,dev,0.23907608469629563,0.9658777759766575,0.11739441660701504,0.07133536320139192,0.08874458874458876,2135,1233,95172,164
bert,132,21,5e-05,,9,,test,,0.9695591528820086,0.22293676312968919,0.08055770720371805,0.11834992887624467,2374,725,98497,208
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f10_ep2,10,,dev,0.25240402255133776,0.9592550390947311,0.18804780876494023,0.18280402788536018,0.18538884524744698,2110,2038,97184,472
bert,132,21,5e-05,,10,,test,,0.9564166392363397,0.11266620013995801,0.15916955017301038,0.131940176193403,1701,2536,92657,322
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_ffan_ep4,fan,,dev,0.09960049930183838,0.9438448766603416,0.13083632632119035,0.1818830242510699,0.1521933751119069,1147,1694,47496,255
bert,132,24,2e-05,,fan,,test,,0.9468221015649952,0.15464403583215464,0.2735613010842369,0.19759036144578312,871,1793,47104,328
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f1_ep2,1,,dev,0.25635559819917775,0.9692643186306781,0.19247928616953475,0.14928324270884824,0.16815144766146994,1721,1267,93926,302
bert,132,24,2e-05,,1,,test,,0.9675089155454693,0.22743682310469315,0.0968113714944295,0.13581244947453516,2351,856,95245,252
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f2_ep3,2,,dev,0.1720543853322366,0.9375506565083482,0.13685498674281052,0.2577794852093738,0.17879030109245933,1932,4232,91869,671
bert,132,24,2e-05,,2,,test,,0.9249387254901961,0.13669871794871793,0.2786671022541653,0.18342113751209543,2208,5387,92736,853
bert,132,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs24_lr2e-05_f3_ep2,3,,dev,0.25513946172550206,0.8652454933586338,0.11050537792839252,0.4900359359686377,0.18034265103697023,1561,12074,86049,1500
bert,132,24,2e-05,,3,,test,,0.8879826490713587,0.09748545693375868,0.4291615035109459,0.1588806483676122,1382,9619,86168,1039
