model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_ffan_ep2,fan,,dev,0.20000497460565758,0.9411962365591398,0.13230481533426836,0.20185449358059915,0.15984185258401581,1119,1856,47334,283
bert,281,16,5e-05,,fan,,test,,0.942031299904184,0.13831141281289774,0.2718932443703086,0.18335208098987626,873,2031,46866,326
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f1_ep2,1,,dev,0.24604340753009418,0.9321613726135616,0.0906160458452722,0.25012357884330205,0.13303536216642564,1517,5078,90115,506
bert,281,16,5e-05,,1,,test,,0.92404563138272,0.11872857588033656,0.29273914713791777,0.16893914200199536,1841,5656,90445,762
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f2_ep4,2,,dev,0.10277012481884028,0.9471044739828173,0.07692307692307693,0.0914329619669612,0.08355274705985606,2365,2856,93245,238
bert,281,16,5e-05,,2,,test,,0.9295837286527514,0.09196787148594378,0.14962430578242406,0.11391617957965428,2603,4522,93601,458
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f3_ep2,3,,dev,0.2409569978676643,0.9048466160657812,0.13210084033613445,0.3851682456713492,0.19672951777073253,1882,7746,90377,1179
bert,281,16,5e-05,,3,,test,,0.9397503258390355,0.151931501393867,0.3151590251961999,0.205024855568991,1658,4259,91528,763
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f4_ep4,4,,dev,0.09410583209525097,0.9134693711306614,0.06312005751258087,0.18133002891367203,0.09364334470989762,1982,6516,89271,439
bert,281,16,5e-05,,4,,test,,0.9172686511396189,0.09033895774227266,0.24355877616747182,0.13179392223069383,1879,6092,87772,605
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f5_ep2,5,,dev,0.22712307163281367,0.957871465935982,0.14670255720053835,0.1316425120772947,0.1387651177593889,2157,1902,91962,327
bert,281,16,5e-05,,5,,test,,0.9622006728676034,0.14103170847136773,0.12939643942683457,0.13496376811594205,2005,1815,96942,298
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f6_ep3,6,,dev,0.1562855078448964,0.9668513754205422,0.16116504854368932,0.10811984368215372,0.1294178794178794,2054,1296,97461,249
bert,281,16,5e-05,,6,,test,,0.9709394098838385,0.08708133971291866,0.04529616724738676,0.05959397511460379,1918,954,95865,91
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f7_ep3,7,,dev,0.15162349382444518,0.9486785121625451,0.07470147181338517,0.13389746142359382,0.09590017825311943,1740,3332,93487,269
bert,281,16,5e-05,,7,,test,,0.9440690077582686,0.08727053866987662,0.10599415204678363,0.09572536722231392,2446,3033,92191,290
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f8_ep4,8,,dev,0.09369121144904057,0.9440383830134749,0.09136904761904761,0.11220760233918128,0.10072178477690288,2429,3053,92171,307
bert,281,16,5e-05,,8,,test,,0.93497730588426,0.07262917617763022,0.15224010439321445,0.09834223096375388,1949,4469,91936,350
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f9_ep3,9,,dev,0.1405295926063139,0.9476009077646296,0.0687481236865806,0.09960852544584602,0.08134991119005328,2070,3102,93303,229
bert,281,16,5e-05,,9,,test,,0.9492652548033476,0.08908685968819599,0.10844306738962045,0.09781659388646288,2302,2863,96359,280
bert,281,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr5e-05_f10_ep3,10,,dev,0.12208379198298708,0.9500903697300696,0.10016,0.12122385747482571,0.10968985456456982,2269,2812,96410,313
bert,281,16,5e-05,,10,,test,,0.9470560401579987,0.07965554359526372,0.1463173504695996,0.10315385955741417,1727,3420,91773,296
