model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_ffan_ep9,fan,,dev,0.019344169368945157,0.9418682795698925,0.13093525179856116,0.19472182596291013,0.1565815887582449,1129,1812,47378,273
bert,132,21,5e-05,,fan,,test,,0.940773714468221,0.11896551724137931,0.23019182652210174,0.1568627450980392,923,2044,46853,276
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f1_ep1,1,,dev,0.32084915512165085,0.9681019585253456,0.17801672640382318,0.14730598121601582,0.16121179334595617,1725,1376,93817,298
bert,132,21,5e-05,,1,,test,,0.9638109904360512,0.1927710843373494,0.11678832116788321,0.14545454545454545,2299,1273,94828,304
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f2_ep3,2,,dev,0.12878245769427035,0.8744326471065003,0.07713570009501598,0.34306569343065696,0.12595204513399155,1710,10684,85417,893
bert,132,21,5e-05,,2,,test,,0.864247311827957,0.08607987592089958,0.3626265926167919,0.13913261469039861,1951,11785,86338,1110
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f3_ep2,3,,dev,0.24593668848300645,0.907939990512334,0.1315975494816211,0.3649134269846455,0.1934366611827864,1944,7371,90752,1117
bert,132,21,5e-05,,3,,test,,0.9280404855001629,0.11704582921200132,0.2932672449401074,0.16731471662542713,1711,5356,90431,710
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f4_ep2,4,,dev,0.2688991711718438,0.9378360215053764,0.1009532062391681,0.19248244527054936,0.13244280233053857,1955,4150,91637,466
bert,132,21,5e-05,,4,,test,,0.9422406277244987,0.15123386914195155,0.2689210950080515,0.1935951311404144,1816,3749,90115,668
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f5_ep5,5,,dev,0.11148279188200831,0.9578507078507078,0.22838442990010335,0.2669082125603865,0.24614813439762392,1821,2240,91624,663
bert,132,21,5e-05,,5,,test,,0.9662576687116564,0.24875170222423967,0.23795049934867565,0.24323124722592102,1755,1655,97102,548
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f6_ep8,6,,dev,0.027892896060740514,0.9415693647338215,0.09012289485662267,0.17194963091619628,0.11826190831715697,1907,3998,94759,396
bert,132,21,5e-05,,6,,test,,0.9387825312664427,0.06445354602284975,0.1488302638128422,0.08995186522262334,1710,4340,92479,299
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f7_ep4,7,,dev,0.11002982061119658,0.9668514995750193,0.19052271617000488,0.19412643106022898,0.19230769230769232,1619,1657,95162,390
bert,132,21,5e-05,,7,,test,,0.9574826459779502,0.20990661794559481,0.18896198830409358,0.19888440084631662,2219,1946,93278,517
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f8_ep4,8,,dev,0.12708498117071196,0.9137505104124132,0.08619440822830653,0.21747076023391812,0.1234567901234568,2141,6308,88916,595
bert,132,21,5e-05,,8,,test,,0.8823451937104879,0.05991305991305991,0.275772074815137,0.09843956214579615,1665,9948,86457,634
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f9_ep6,9,,dev,0.03842716981575665,0.8607756524558275,0.06281042255673569,0.3575467594606351,0.1068503834654881,1477,12265,84140,822
bert,132,21,5e-05,,9,,test,,0.8810557541943342,0.07050761879000991,0.30286599535243997,0.11438601623637826,1800,10309,88913,782
bert,132,21,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr5e-05_f10_ep7,10,,dev,0.024557171918595008,0.9097284978979215,0.08028455284552846,0.2447714949651433,0.12091065620815,1950,7240,91982,632
bert,132,21,5e-05,,10,,test,,0.8906352863726136,0.0627729812087354,0.30548690064260997,0.10414560161779574,1405,9227,85966,618
