model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_ffan_ep2,fan,,dev,0.20366610775831168,0.9509606261859582,0.16676961087090797,0.19258202567760344,0.17874875868917575,1132,1349,47841,270
bert,45362,16,3e-05,,fan,,test,,0.9530900670712232,0.15682766845557544,0.21934945788156798,0.18289290681502088,936,1414,47483,263
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f1_ep1,1,,dev,0.3184143183822569,0.9637405365371955,0.16799292661361626,0.18783984181908056,0.1773628938156359,1643,1882,93311,380
bert,45362,16,3e-05,,1,,test,,0.9633145566542389,0.19988207547169812,0.13023434498655398,0.15771109560362875,2264,1357,94744,339
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f2_ep4,2,,dev,0.0975411465853385,0.8773504619873561,0.0830188679245283,0.3634268152132155,0.13516216602371767,1657,10449,85652,946
bert,45362,16,3e-05,,2,,test,,0.8355866540164453,0.07964327738898867,0.42012414243711205,0.13390254060808,1775,14861,83262,1286
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f3_ep2,3,,dev,0.23240430235984108,0.8772335547122074,0.10005981372297701,0.3825547206795165,0.15862909780547277,1890,10532,87591,1171
bert,45362,16,3e-05,,3,,test,,0.9156891495601173,0.09765142150803462,0.2936802973977695,0.14656771799628943,1710,6570,89217,711
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f4_ep1,4,,dev,0.32149041546253193,0.9656545291625936,0.1905071521456437,0.12102437009500207,0.14801717605455925,2128,1245,94542,293
bert,45362,16,3e-05,,4,,test,,0.964057375347698,0.24086818422445738,0.18317230273752014,0.20809512920192091,2029,1434,92430,455
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f5_ep4,5,,dev,0.09486051728730673,0.9402686096234484,0.13205849268841394,0.2363123993558776,0.16943281858854092,1897,3858,90006,587
bert,45362,16,3e-05,,5,,test,,0.9446566396200277,0.11074301940369144,0.2032132001736865,0.14336039209679888,1835,3758,94999,468
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f6_ep3,6,,dev,0.1372162024782303,0.9530377993271324,0.11911443716869348,0.16587060356057318,0.13865698729582576,1921,2825,95932,382
bert,45362,16,3e-05,,6,,test,,0.9521491884890921,0.07711442786069651,0.12344449975111996,0.09492822966507175,1761,2968,93851,248
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f7_ep3,7,,dev,0.161057915710262,0.9624195572105071,0.12262062859672422,0.13787954206072672,0.12980318650421743,1732,1982,94837,277
bert,45362,16,3e-05,,7,,test,,0.9432625561453655,0.08862973760932945,0.1111111111111111,0.0986052546221213,2432,3126,92098,304
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f8_ep3,8,,dev,0.13985819250228815,0.9466312780726828,0.08823529411764706,0.09758771929824561,0.09267615411315515,2469,2759,92465,267
bert,45362,16,3e-05,,8,,test,,0.9476211703679689,0.07033822208919485,0.10221835580687255,0.08333333333333333,2064,3106,93299,235
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f9_ep3,9,,dev,0.1556080156725471,0.9519776300859134,0.09679550710274198,0.12744671596346238,0.11002628614344724,2006,2734,93671,293
bert,45362,16,3e-05,,9,,test,,0.958400455777769,0.12277498858968508,0.10418280402788536,0.11271736853132204,2313,1922,97300,269
bert,45362,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_45362_bs16_lr3e-05_f10_ep3,10,,dev,0.12629002481955745,0.9462398334053672,0.13059033989266547,0.1979085979860573,0.1573518090839107,2071,3402,95820,511
bert,45362,16,3e-05,,10,,test,,0.936584512837393,0.0900633412509897,0.22491349480968859,0.1286219081272085,1568,4597,90596,455
