model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_ffan_ep7,fan,,dev,0.026379575598163202,0.9247311827956989,0.12193588937774984,0.2767475035663338,0.16928446771378708,1014,2794,46396,388
bert,132,21,2e-05,,fan,,test,,0.9187360268284893,0.11990471148755956,0.377814845704754,0.18203737191078964,746,3325,45572,453
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f1_ep2,1,,dev,0.25449030098856473,0.951129443712969,0.13568376068376067,0.25111220958971825,0.17617478758453267,1515,3236,91957,508
bert,132,21,2e-05,,1,,test,,0.9604879234884098,0.21419127368884971,0.1867076450249712,0.19950738916256158,2117,1783,94318,486
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f2_ep3,2,,dev,0.15080960484383946,0.9071364888960933,0.11334982915046542,0.3695735689588936,0.17348963029756537,1641,7525,88576,962
bert,132,21,2e-05,,2,,test,,0.8946869070208728,0.11583206879109763,0.3740607644560601,0.17688861424378188,1916,8740,89383,1145
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f3_ep2,3,,dev,0.2537340512928112,0.9078411606578115,0.14344262295081966,0.41163018621365566,0.21274799493457153,1801,7524,90599,1260
bert,132,21,2e-05,,3,,test,,0.9325615021179537,0.1372582872928177,0.32837670384138784,0.19359551929867286,1626,4997,90790,795
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f4_ep6,4,,dev,0.052461984296944875,0.9435789345063539,0.1178343949044586,0.19867823213548122,0.1479317238197755,1940,3601,92186,481
bert,132,21,2e-05,,4,,test,,0.9491945862913604,0.1730404122592894,0.25684380032206117,0.2067736185383244,1846,3049,90815,638
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f5_ep9,5,,dev,0.0162831833970649,0.9481151658571013,0.1616895345708905,0.24194847020933977,0.19383970327366554,1883,3116,90748,601
bert,132,21,2e-05,,5,,test,,0.948703740352266,0.11637816245006657,0.1897524967433782,0.14427203697589966,1866,3318,95439,437
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f6_ep4,6,,dev,0.10475663710454491,0.9509796160696616,0.14049362625440737,0.22492401215805471,0.1729549248747913,1785,3169,95588,518
bert,132,21,2e-05,,6,,test,,0.9521997814384587,0.11203200914547014,0.1951219512195122,0.1423384168482208,1617,3107,93712,392
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f7_ep6,7,,dev,0.04772368204192121,0.8945744121099284,0.0708307817922025,0.34544549527127927,0.11755738121453375,1315,9104,87715,694
bert,132,21,2e-05,,7,,test,,0.9032155982033483,0.07827935475803427,0.22880116959064328,0.11664958539085064,2110,7371,87853,626
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f8_ep6,8,,dev,0.03723269563309512,0.9229583503470804,0.09469250210614996,0.2054093567251462,0.12962749394533504,2174,5373,89851,562
bert,132,21,2e-05,,8,,test,,0.9042794618252553,0.07502080608726668,0.27446715963462376,0.11783380018674136,1668,7780,88625,631
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f9_ep9,9,,dev,0.017442537419762965,0.9326775004052521,0.08227604767397155,0.18616789908655937,0.1141181175843221,1871,4774,91631,428
bert,132,21,2e-05,,9,,test,,0.9468292012101686,0.13032123269783233,0.1932610379550736,0.15566994228669476,2083,3330,95892,499
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f10_ep2,10,,dev,0.268374370692886,0.9711700915484657,0.2812887236679058,0.0879163439194423,0.1339628208911183,2355,580,98642,227
bert,132,21,2e-05,,10,,test,,0.970745556287031,0.16544417277913612,0.10034602076124567,0.12492307692307693,1820,1024,94169,203
