model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_ffan_ep9,fan,,dev,0.014614556505064342,0.932024826059456,0.12067039106145251,0.23109843081312412,0.15855150477122584,1078,2361,46829,324
bert,132,16,2e-05,,fan,,test,,0.9284972852123922,0.12162591298825023,0.3194328607172644,0.17617295308187675,816,2766,46131,383
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f1_ep2,1,,dev,0.25056928484015484,0.9528575543120474,0.12062833432128038,0.20118635689569947,0.15082453214748934,1616,2967,92226,407
bert,132,16,2e-05,,1,,test,,0.9566380288539471,0.16392785571142285,0.1571263926238955,0.16045508042369555,2194,2086,94015,409
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f2_ep3,2,,dev,0.14481350456371456,0.9156163883935808,0.11015795206971678,0.3107952362658471,0.16266210917864685,1794,6535,89566,809
bert,132,16,2e-05,,2,,test,,0.9000731340923466,0.12104923672328531,0.3678536426004574,0.1821564345223651,1935,8176,89947,1126
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f3_ep2,3,,dev,0.2349942962739402,0.9113002055660974,0.14654554147740856,0.40052270499836656,0.21457950468189377,1835,7140,90983,1226
bert,132,16,2e-05,,3,,test,,0.9344045291625936,0.1337219894334123,0.30318050392399837,0.1855878634639697,1687,4755,91032,734
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f4_ep1,4,,dev,0.3195585354122141,0.9599014336917563,0.15475648611743287,0.14043783560512185,0.14724989172802078,2081,1857,93930,340
bert,132,16,2e-05,,4,,test,,0.961836260223357,0.21689606074988135,0.18397745571658616,0.19908516663036377,2027,1650,92214,457
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f5_ep5,5,,dev,0.06264759662153666,0.9143210030306804,0.11397993311036789,0.34299516908212563,0.17110151621648761,1632,6623,87241,852
bert,132,16,2e-05,,5,,test,,0.9235800514545814,0.10541642399534071,0.31437255753365173,0.1578889979282521,1579,6144,92613,724
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f6_ep3,6,,dev,0.1537053814510299,0.9690678804670493,0.21522491349480968,0.1350412505427703,0.16595517609391677,1992,1134,97623,311
bert,132,16,2e-05,,6,,test,,0.9700287367952403,0.10717230008244023,0.06470881035340965,0.08069522036002483,1879,1083,95736,130
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f7_ep2,7,,dev,0.234134208856849,0.9691585380661351,0.1650548033526757,0.12742658038825286,0.1438202247191011,1753,1295,95524,256
bert,132,16,2e-05,,7,,test,,0.9566659861167823,0.17797695262483995,0.1524122807017544,0.16420555227406972,2319,1926,93298,417
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f8_ep3,8,,dev,0.1442343457066454,0.9558799510004083,0.16023993144815768,0.13669590643274854,0.147534516765286,2362,1960,93264,374
bert,132,16,2e-05,,8,,test,,0.9593836116064192,0.14493355481727574,0.15180513266637669,0.14828978117697048,1950,2059,94346,349
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f9_ep5,9,,dev,0.06385885963398359,0.8042227265359053,0.06419904776532023,0.5454545454545454,0.11487724441187247,1045,18279,78126,1254
bert,132,16,2e-05,,9,,test,,0.8266963969981533,0.06842799014270158,0.4624322230828815,0.11921521641455743,1388,16255,82967,1194
bert,132,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr2e-05_f10_ep10,10,,dev,0.010785558475344485,0.9392656477152175,0.12006752479426039,0.2203718048024787,0.15544324545827073,2013,4170,95052,569
bert,132,16,2e-05,,10,,test,,0.938837228439763,0.08574445617740233,0.20069204152249134,0.12015389168393018,1617,4329,90864,406
