model,input,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp,h
cam,c,34,32,0.001,,9,,test,5.421413788428674,0.33617539585870887,0.16899224806201552,0.923728813559322,0.28571428571428575,9,536,167,109,600
cam,c,34,32,0.001,cam_crossbert_34_h600_bs32_lr0.001_f10_ep16,10,16,dev,5.2899425350702725,0.8319123020706456,0.4375,0.5932203389830508,0.5035971223021583,48,90,613,70,600
cam,c,34,32,0.001,,10,,test,5.493688645362854,0.8163265306122449,0.35668789808917195,0.5656565656565656,0.43749999999999994,43,101,584,56,600
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f1_ep58,1,58,dev,16.376248569488524,0.8584183673469388,0.4491525423728814,0.5353535353535354,0.4884792626728111,46,65,620,53,1200
cam+,a,34,32,0.001,,1,,test,19.9491788482666,0.8316582914572864,0.48854961832061067,0.48854961832061067,0.48854961832061067,67,67,598,64,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f2_ep10,2,10,dev,14.019113960266113,0.8329145728643216,0.4915254237288136,0.44274809160305345,0.46586345381526106,73,60,605,58,1200
cam+,a,34,32,0.001,,2,,test,15.050623916662657,0.7830882352941176,0.4226190476190476,0.47019867549668876,0.445141065830721,80,97,568,71,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f3_ep87,3,87,dev,29.222024413255546,0.7965686274509803,0.45222929936305734,0.47019867549668876,0.461038961038961,80,86,579,71,1200
cam+,a,34,32,0.001,,3,,test,24.95056140899658,0.8320707070707071,0.4608695652173913,0.4274193548387097,0.4435146443514644,71,62,606,53,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f4_ep8,4,8,dev,17.442433614730835,0.8358585858585859,0.47413793103448276,0.4435483870967742,0.45833333333333337,69,61,607,55,1200
cam+,a,34,32,0.001,,4,,test,18.88647966146469,0.8211068211068211,0.47058823529411764,0.42424242424242425,0.4462151394422311,76,63,582,56,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f5_ep77,5,77,dev,23.059522771835326,0.8223938223938224,0.47794117647058826,0.49242424242424243,0.4850746268656716,67,71,574,65,1200
cam+,a,34,32,0.001,,5,,test,18.989663224953873,0.8343558282208589,0.375,0.42857142857142855,0.39999999999999997,60,75,635,45,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f6_ep74,6,74,dev,16.73774636708773,0.8392638036809816,0.38596491228070173,0.41904761904761906,0.4018264840182649,61,70,640,44,1200
cam+,a,34,32,0.001,,6,,test,18.158066383600236,0.8168130489335006,0.375,0.42105263157894735,0.39669421487603307,66,80,603,48,1200
cam+,a,34,32,0.001,cam+_avbert_34_h1200_bs32_lr0.001_f7_ep46,7,46,dev,14.816150465607643,0.8406524466750314,0.4434782608695652,0.4473684210526316,0.4454148471615721,63,64,619,51,1200
cam+,a,34,32,0.001,,7,,test,18.925202045440674,0.7974683544303798,0.3983739837398374,0.362962962962963,0.3798449612403101,86,74,581,49,1200
