model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_ffan_ep3,fan,,dev,0.12700022941490743,0.9706475332068312,0.4187866927592955,0.15263908701854492,0.22373235755358076,1188,297,48893,214
bert,281,16,2e-05,,fan,,test,,0.9709358032577451,0.3256445047489824,0.20016680567139283,0.24793388429752067,959,497,48400,240
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f1_ep2,1,,dev,0.2451173397445322,0.9478583772218565,0.1203888334995015,0.23875432525951557,0.16006628003314002,1540,3529,91664,483
bert,281,16,2e-05,,1,,test,,0.9552601718268763,0.20229885057471264,0.23665001920860546,0.21813031161473087,1987,2429,93672,616
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f2_ep3,2,,dev,0.13123228740709178,0.9013515156427298,0.09576155938349955,0.3246254321936227,0.14789533560864618,1758,7979,88122,845
bert,281,16,2e-05,,2,,test,,0.8688330170777988,0.09808706604739038,0.4070565174779484,0.15808170515097691,1815,11457,86666,1246
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f3_ep2,3,,dev,0.24080731959915475,0.914828431372549,0.15744051288373814,0.41718392682130023,0.22860723236663089,1784,6834,91289,1277
bert,281,16,2e-05,,3,,test,,0.9355551482567611,0.1457577955039884,0.33209417596034696,0.20259543908277688,1617,4712,91075,804
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f4_ep1,4,,dev,0.3297373229066407,0.9624165037471489,0.15712742980561556,0.12019826517967781,0.13620407208050553,2130,1561,94226,291
bert,281,16,2e-05,,4,,test,,0.9649707310997634,0.24352331606217617,0.17028985507246377,0.20042643923240938,2061,1314,92550,423
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f5_ep3,5,,dev,0.1369482337505906,0.9714576327479554,0.33121827411167515,0.10507246376811594,0.15953545232273836,2223,527,93337,261
bert,281,16,2e-05,,5,,test,,0.9743617652879477,0.2721518987341772,0.07468519322622666,0.117206132879046,2131,460,98297,172
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f6_ep3,6,,dev,0.15961896960260602,0.9649317237284781,0.17799688635184224,0.14893617021276595,0.16217494089834517,1960,1584,97173,343
bert,281,16,2e-05,,6,,test,,0.9659509450762942,0.09929078014184398,0.08362369337979095,0.09078627398000541,1841,1524,95295,168
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f7_ep4,7,,dev,0.09452149496151833,0.9364552555955802,0.08940588348394539,0.23145843703334992,0.1289875173370319,1544,4736,92083,465
bert,281,16,2e-05,,7,,test,,0.9281033074724377,0.07449120727129026,0.13779239766081872,0.09670386045915096,2359,4684,90540,377
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f8_ep3,8,,dev,0.17230329018086196,0.9597080440996325,0.14235085646780862,0.08808479532163743,0.10882817791826598,2495,1452,93772,241
bert,281,16,2e-05,,8,,test,,0.957174987842438,0.1234375,0.13745106568073076,0.13006791520889074,1983,2244,94161,316
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f9_ep3,9,,dev,0.16269961565068394,0.9625243151240072,0.1124031007751938,0.08829926054806438,0.09890377588306942,2096,1603,94802,203
bert,281,16,2e-05,,9,,test,,0.9626930179560724,0.1541524459613197,0.10495739736638265,0.1248847926267281,2311,1487,97735,271
bert,281,16,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr2e-05_f10_ep2,10,,dev,0.2525921648130157,0.9651978311264783,0.21584861028976937,0.14136328427575523,0.1708401591387784,2217,1326,97896,365
bert,281,16,2e-05,,10,,test,,0.9589162277814351,0.11905682257441051,0.1522491349480969,0.1336225596529284,1715,2279,92914,308
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_ffan_ep2,fan,,dev,0.20723804085820313,0.94507036685642,0.14344899016053858,0.19757489300998574,0.16621662166216622,1125,1654,47536,277
bert,281,16,3e-05,,fan,,test,,0.9436481954647078,0.13291139240506328,0.24520433694745622,0.17238346525945472,905,1918,46979,294
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f1_ep4,1,,dev,0.10337087711838407,0.9621564351547071,0.20470756062767476,0.2837370242214533,0.23782887922104828,1449,2230,92963,574
bert,281,16,3e-05,,1,,test,,0.9515723780191279,0.20055020632737278,0.28006146753745675,0.23372875921769798,1874,2906,93195,729
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f2_ep3,2,,dev,0.15608318926933407,0.9332144593937429,0.11503570739239528,0.22896657702650788,0.15313463514902365,2007,4585,91516,596
bert,281,16,3e-05,,2,,test,,0.8926213630613535,0.10665322580645162,0.34563868016987914,0.16300747245974886,2003,8862,89261,1058
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f3_ep2,3,,dev,0.23285640513333014,0.9319259962049335,0.1785654291953637,0.3472721332897746,0.23585533614377635,1998,4890,93233,1063
bert,281,16,3e-05,,3,,test,,0.947794477028348,0.17096303501945526,0.29037587773647255,0.21521506199295884,1718,3409,92378,703
bert,281,16,3e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs16_lr3e-05_f4_ep1,4,,dev,0.3207559960237019,0.957620560443141,0.13623067279565398,0.13465510119785212,0.13543830494391357,2095,2067,93720,326
bert,281,16,3e-05,,4,,test,,0.9604766056378959,0.21192341166231507,0.1960547504025765,0.2036804684232539,1997,1811,92053,487
