model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_ffan_ep4,fan,,dev,0.09571648412462487,0.952561669829222,0.14152298850574713,0.1405135520684736,0.14101646385110952,1205,1195,47995,197
bert,281,24,2e-05,,fan,,test,,0.9516328648993931,0.13176895306859207,0.18265221017514596,0.15309332401258305,980,1443,47454,219
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f1_ep2,1,,dev,0.26655049574620715,0.9692128867676103,0.1714092140921409,0.12506178942165103,0.14461274649899972,1770,1223,93970,253
bert,281,24,2e-05,,1,,test,,0.9656346247365861,0.18465227817745802,0.08874375720322704,0.11987545407368964,2372,1020,95081,231
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f2_ep2,2,,dev,0.2516466767450136,0.960650024315124,0.19251080172827653,0.15405301575105648,0.17114810072556552,2202,1682,94419,401
bert,281,24,2e-05,,2,,test,,0.9575723434535104,0.23240660295395307,0.17477948382881411,0.19951519671825468,2526,1767,96356,535
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f3_ep3,3,,dev,0.15856636400313529,0.9145121758380772,0.138439642903351,0.34955896765762823,0.19833178869323445,1991,6659,91464,1070
bert,281,24,2e-05,,3,,test,,0.929964972303682,0.11873396065012831,0.28665840561751343,0.16791676748124848,1727,5151,90636,694
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f4_ep1,4,,dev,0.3364696096239695,0.9568772401433692,0.16156716417910447,0.1788517141676993,0.16977063320917468,1988,2247,93540,433
bert,281,24,2e-05,,4,,test,,0.9600614439324117,0.22632423756019263,0.22705314009661837,0.2266881028938907,1920,1928,91936,564
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f5_ep3,5,,dev,0.1652996526117182,0.961255033835679,0.2149703331811958,0.18961352657004832,0.20149732620320857,2013,1720,92144,471
bert,281,24,2e-05,,5,,test,,0.9599247971502078,0.1524074810982889,0.16630481980026052,0.1590531561461794,1920,2130,96627,383
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f6_ep4,6,,dev,0.10899938176223252,0.9458638432614288,0.12834350070389489,0.23751628310898829,0.16664127951256663,1756,3715,95042,547
bert,281,24,2e-05,,6,,test,,0.9519063423321326,0.09263657957244656,0.15530114484818316,0.11604984191928584,1697,3056,93763,312
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f7_ep2,7,,dev,0.2513846859949805,0.9734690573521674,0.20669856459330144,0.10751617720258835,0.14145383104125736,1793,829,95990,216
bert,281,24,2e-05,,7,,test,,0.9623009391588403,0.16231474947071278,0.08406432748538012,0.11076330363592583,2506,1187,94037,230
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f8_ep4,8,,dev,0.11216686929624932,0.9568701510820743,0.1256913021618904,0.09137426900584796,0.10582010582010583,2486,1739,93485,250
bert,281,24,2e-05,,8,,test,,0.9538417895931269,0.12041708711738984,0.1557198782079165,0.13581183611532627,1941,2615,93790,358
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f9_ep3,9,,dev,0.1752271693395941,0.920489544496677,0.09561288441918088,0.28534145280556766,0.14323144104803495,1643,6205,90200,656
bert,281,24,2e-05,,9,,test,,0.9249538328552905,0.11577028258887875,0.2951200619674671,0.16630292448712353,1820,5820,93402,762
bert,281,24,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr2e-05_f10_ep3,10,,dev,0.18286784943298234,0.9513378649168991,0.13951367781155016,0.1777691711851278,0.1563351498637602,2123,2831,96391,459
bert,281,24,2e-05,,10,,test,,0.946788594470046,0.07729468599033816,0.14236282748393475,0.10019133762393459,1735,3438,91755,288
