model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_ffan_ep2,fan,,dev,0.20318754669696493,0.9242370335230866,0.09361417586091608,0.19971469329529243,0.12747552925108127,1122,2711,46479,280
bert,132,16,5e-05,,fan,,test,,0.9324297349089747,0.0924683072334079,0.20683903252710592,0.12780211285751095,951,2434,46463,248
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f1_ep1,1,,dev,0.3156020526920545,0.9525798222514812,0.13614627285513362,0.2392486406327237,0.1735389028325565,1539,3071,92122,484
bert,132,16,5e-05,,1,,test,,0.9576714216242502,0.18687872763419483,0.18056089127929312,0.1836654943337241,2133,2045,94056,470
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f2_ep4,2,,dev,0.0980705483257829,0.9185747284811152,0.07875968992248061,0.19515943142527853,0.11222799072130786,2095,5942,90159,508
bert,132,16,5e-05,,2,,test,,0.9059337444655281,0.098993913799528,0.26037242731133614,0.14344852411807055,2264,7254,90869,797
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f3_ep2,3,,dev,0.2320379078070771,0.8888460626185958,0.10929744177166857,0.3740607644560601,0.1691659895102312,1916,9331,88792,1145
bert,132,16,5e-05,,3,,test,,0.9150171065493646,0.10014846807936294,0.30648492358529533,0.15096642929806714,1679,6667,89120,742
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f4_ep3,4,,dev,0.13362432850836578,0.9277859237536656,0.08197601575085019,0.18917802560925237,0.11438561438561438,1963,5129,90658,458
bert,132,16,5e-05,,4,,test,,0.9248868684352556,0.08619188577398572,0.19927536231884058,0.12033548073416798,1989,5248,88616,495
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f5_ep4,5,,dev,0.09727845039626118,0.9579752563623531,0.10698141637368157,0.08574879227053141,0.095195530726257,2271,1778,92086,213
bert,132,16,5e-05,,5,,test,,0.9611023154561646,0.13366336633663367,0.1289622231871472,0.13127071823204417,2006,1925,96832,297
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f6_ep4,6,,dev,0.1038539989999925,0.9610132594498317,0.0739198334200937,0.061658706035605734,0.0672348484848485,2161,1779,96978,142
bert,132,16,5e-05,,6,,test,,0.9572388391953698,0.07084785133565621,0.09109009457441514,0.07970383275261324,1826,2400,94419,183
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f7_ep3,7,,dev,0.15439816843543666,0.9516736147650463,0.08934401899673494,0.14982578397212543,0.11193752324284122,1708,3068,93751,301
bert,132,16,5e-05,,7,,test,,0.9474479379338505,0.10818713450292397,0.12171052631578948,0.11455108359133127,2403,2745,92479,333
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f8_ep4,8,,dev,0.10283775499716284,0.9440792160065333,0.0941385435168739,0.1162280701754386,0.10402355250245339,2418,3060,92164,318
bert,132,16,5e-05,,8,,test,,0.9363754255146701,0.06718851924331376,0.13440626359286648,0.0895911858509713,1990,4290,92115,309
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f9_ep4,9,,dev,0.1077031348568701,0.9706394877613875,0.046898638426626324,0.013484123531970421,0.020945945945945947,2268,630,95775,31
bert,132,16,5e-05,,9,,test,,0.9709245216297985,0.15129151291512916,0.031758326878388844,0.05249679897567222,2500,460,98762,82
bert,132,16,5e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs16_lr5e-05_f10_ep3,10,,dev,0.12413658208696914,0.9380083297316412,0.1154877294287482,0.2168861347792409,0.15071995693715518,2022,4289,94933,560
bert,132,16,5e-05,,10,,test,,0.9279131007241607,0.07775707267491107,0.226890756302521,0.11582134746404239,1564,5444,89749,459
