model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_ffan_ep2,fan,,dev,0.21485028080642224,0.9661804237824162,0.26046511627906976,0.11982881597717546,0.16414264777723497,1234,477,48713,168
bert,281,21,2e-05,,fan,,test,,0.9705565314595975,0.26610169491525426,0.13094245204336946,0.17551704863051984,1042,433,48464,157
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f1_ep2,1,,dev,0.25380509643525373,0.9581241770901909,0.15498652291105122,0.2273850716757291,0.18433179723502305,1563,2508,92685,460
bert,281,21,2e-05,,1,,test,,0.9607412060301508,0.22178477690288714,0.19477525931617365,0.20740437717324606,2096,1779,94322,507
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f2_ep2,2,,dev,0.24569554523393317,0.9597078132598477,0.1943950177935943,0.1678832116788321,0.18016903731189446,2166,1811,94290,437
bert,281,21,2e-05,,2,,test,,0.9590350253004427,0.27621800165152766,0.2185560274420124,0.24402699252234178,2392,1753,96370,669
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f3_ep2,3,,dev,0.25204180770455614,0.893283523086654,0.12394284047827354,0.41653054557334207,0.19103985615822594,1786,9012,89111,1275
bert,281,21,2e-05,,3,,test,,0.9104248126425546,0.10544554455445544,0.35192069392812886,0.16227025997524047,1569,7228,88559,852
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f4_ep1,4,,dev,0.3261918821341656,0.9677521179537308,0.16814946619217083,0.07806691449814127,0.10662905500705219,2232,935,94852,189
bert,281,21,2e-05,,4,,test,,0.9687590816623075,0.27405498281786944,0.12842190016103058,0.17489035087719296,2165,845,93019,319
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f5_ep3,5,,dev,0.18419527495127233,0.9609125254286545,0.1999063670411985,0.1719001610305958,0.18484848484848485,2057,1709,92155,427
bert,281,21,2e-05,,5,,test,,0.9615179101523847,0.1462979482604817,0.14242292661745548,0.14433443344334432,1975,1914,96843,328
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f6_ep4,6,,dev,0.11668910757381175,0.9510290916287354,0.11540697674418604,0.17238384715588362,0.1382552672819084,1906,3043,95714,397
bert,281,21,2e-05,,6,,test,,0.9541931436435018,0.10107731305449937,0.15878546540567445,0.1235237173281704,1690,2837,93982,319
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f7_ep4,7,,dev,0.10488104456195943,0.9653235925041487,0.13111342351716962,0.1254355400696864,0.12821165097939455,1757,1670,95149,252
bert,281,21,2e-05,,7,,test,,0.9560126582278481,0.09769820971867008,0.06980994152046784,0.08143253037731826,2545,1764,93460,191
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f8_ep3,8,,dev,0.1610859721746357,0.9633830134748878,0.1397121083827265,0.06030701754385965,0.08424814909369414,2571,1016,94208,165
bert,281,21,2e-05,,8,,test,,0.9596571567514994,0.1028787163756489,0.09482383645063071,0.09868718877320054,2081,1901,94504,218
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f9_ep4,9,,dev,0.10200074309709874,0.8842600097260496,0.06839466464856683,0.3144845585036973,0.11235431235431236,1576,9848,86557,723
bert,281,21,2e-05,,9,,test,,0.9035794271344937,0.10077262693156733,0.35360185902401237,0.15684590276584778,1669,8147,91075,913
bert,281,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs21_lr2e-05_f10_ep2,10,,dev,0.2605961119529399,0.9666221366547484,0.22763684913217624,0.13206816421378775,0.16715686274509803,2241,1157,98065,341
bert,281,21,2e-05,,10,,test,,0.9630616359447005,0.13970588235294118,0.15027187345526447,0.14479638009049775,1719,1872,93321,304
