model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_ffan_ep4,fan,,dev,0.08835939179236234,0.9574043327008223,0.17515099223468508,0.144793152639087,0.1585318235064428,1199,956,48234,203
bert,132,21,2e-05,,fan,,test,,0.9595975726604918,0.2017353579175705,0.23269391159299416,0.2161115414407436,920,1104,47793,279
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f1_ep2,1,,dev,0.2513477109433686,0.9449576201448321,0.11991777067153951,0.25951557093425603,0.16403686923918137,1498,3853,91340,525
bert,132,21,2e-05,,1,,test,,0.9567798670773221,0.20036036036036037,0.2135996926623127,0.20676831535886947,2047,2219,93882,556
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f2_ep2,2,,dev,0.24502424350755878,0.962585102934025,0.19553072625698323,0.13446023818670763,0.15934441156385157,2253,1440,94661,350
bert,132,21,2e-05,,2,,test,,0.954014468690702,0.19802731411229135,0.17053250571708592,0.18325434439178517,2539,2114,96009,522
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f3_ep2,3,,dev,0.2504405220541613,0.8823430581910183,0.11135524696783267,0.4139170205815093,0.17549691806911838,1794,10111,88012,1267
bert,132,21,2e-05,,3,,test,,0.9088057999348322,0.10446677157729088,0.35646427096241223,0.16158022842164388,1558,7398,88389,863
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f4_ep1,4,,dev,0.32708881186698774,0.9638216845878136,0.19700214132762311,0.15200330441966128,0.1716017719748193,2053,1500,94287,368
bert,132,21,2e-05,,4,,test,,0.9649603520571263,0.26124197002141325,0.1964573268921095,0.22426470588235295,1996,1380,92484,488
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f5_ep3,5,,dev,0.17437325402422518,0.9594075642462739,0.20208768267223381,0.19484702093397746,0.19840131174420986,2000,1911,91953,484
bert,132,21,2e-05,,5,,test,,0.9602612309519097,0.12744671596346238,0.12722535822839776,0.12733594089526293,2010,2006,96751,293
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f6_ep4,6,,dev,0.10366794629187912,0.9510389867405502,0.12819791959516447,0.19800260529743813,0.15563139931740613,1847,3101,95656,456
bert,132,21,2e-05,,6,,test,,0.9540413647954021,0.09237206308336016,0.14285714285714285,0.11219702892885067,1722,2820,93999,287
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f7_ep3,7,,dev,0.16291238421757445,0.9542538551827418,0.09194282001299545,0.1408661025385764,0.11126400629054452,1726,2795,94024,283
bert,132,21,2e-05,,7,,test,,0.9499591670069416,0.13559892328398385,0.1472953216374269,0.14120532585844428,2333,2569,92655,403
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f8_ep4,8,,dev,0.10444745539657038,0.9450898325847285,0.12616690240452616,0.16301169590643275,0.1422420666560357,2290,3089,92135,446
bert,132,21,2e-05,,8,,test,,0.933660236667207,0.08038712225952992,0.17703349282296652,0.11056778049443086,1892,4656,91749,407
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f9_ep4,9,,dev,0.10371020341929245,0.854960285297455,0.06538878842676311,0.393214441061331,0.1121309848672786,1395,12921,83484,904
bert,132,21,2e-05,,9,,test,,0.8635711759852265,0.08347454505267811,0.43880712625871415,0.14026617146394305,1449,12440,86782,1133
bert,132,21,2e-05,models/checkpoints/bert_tokclf_baseline/bert_132_bs21_lr2e-05_f10_ep2,10,,dev,0.2625773260676253,0.9669659345408825,0.24659312134977288,0.14717273431448488,0.18433179723502302,2202,1161,98061,380
bert,132,21,2e-05,,10,,test,,0.9631747860434496,0.14565316340464268,0.15818091942659418,0.15165876777251186,1703,1877,93316,320
