model,seed,bs,lr,model_loc,fold,epoch,set_type,loss,acc,prec,rec,f1,fn,fp,tn,tp
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_ffan_ep2,fan,,dev,0.2169887839129778,0.9359582542694497,0.12274220032840723,0.21326676176890158,0.15581031787389266,1103,2137,47053,299
bert,281,24,5e-05,,fan,,test,,0.9369809964867455,0.12747336377473364,0.2793994995829858,0.1750718578521035,864,2293,46604,335
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f1_ep2,1,,dev,0.2575487448983871,0.9157546082949308,0.08448996092170867,0.30993573900148297,0.13278271918678528,1396,6794,88399,627
bert,281,24,5e-05,,1,,test,,0.9159304587453396,0.10620937629650118,0.29504417979254705,0.15619280048810252,1835,6463,89638,768
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f2_ep3,2,,dev,0.1734029781353429,0.9364463446263576,0.11056876061120544,0.20015366884364194,0.14244702665755296,2082,4191,91910,521
bert,281,24,5e-05,,2,,test,,0.9105886306135358,0.09510281385281386,0.22966350865730153,0.13450684014158615,2358,6689,91434,703
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f3_ep4,3,,dev,0.1066653390073207,0.9321829538266919,0.10578718108276292,0.1666122182293368,0.12940877949758944,2551,4311,93812,510
bert,281,24,5e-05,,3,,test,,0.9455950635386119,0.09618573797678276,0.14374225526641884,0.11525086934923001,2073,3270,92517,348
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f4_ep1,4,,dev,0.32960004417865135,0.9344554415118931,0.09170394469296463,0.1862866584056175,0.12290502793296089,1970,4467,91320,451
bert,281,24,5e-05,,4,,test,,0.9389193340806244,0.1494537208822923,0.2918679549114332,0.19768234492160872,1759,4126,89738,725
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f5_ep4,5,,dev,0.12935636651332486,0.9589093701996928,0.14931050879695673,0.12640901771336555,0.1369086548942664,2170,1789,92075,314
bert,281,24,5e-05,,5,,test,,0.9634573520680784,0.13574423480083858,0.11246200607902736,0.12301116124436003,2044,1649,97108,259
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f6_ep4,6,,dev,0.11218795252314426,0.9460221650504651,0.10040567951318459,0.17194963091619628,0.12678085481030896,1907,3548,95209,396
bert,281,24,5e-05,,6,,test,,0.9435483870967742,0.07337476099426386,0.1528123444499751,0.0991441950589375,1702,3877,92942,307
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f7_ep3,7,,dev,0.16517647219410214,0.9517140891245396,0.08123673840557745,0.1333997013439522,0.10097965335342879,1741,3031,93788,268
bert,281,24,5e-05,,7,,test,,0.9428848509595753,0.09698336622497886,0.12573099415204678,0.10950183033582683,2392,3203,92021,344
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f8_ep4,8,,dev,0.12105894364130575,0.9543589220089833,0.09022201228153047,0.06980994152046784,0.07871419740366783,2545,1926,93298,191
bert,281,24,5e-05,,8,,test,,0.9551791214135192,0.08897485493230174,0.10004349717268378,0.09418509418509419,2069,2355,94050,230
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f9_ep2,9,,dev,0.2480001626256153,0.9670530069703356,0.19474695707879563,0.1322314049586777,0.15751295336787563,1995,1257,95148,304
bert,281,24,5e-05,,9,,test,,0.9639208675494086,0.12456985547143841,0.07010069713400464,0.08971499380421313,2401,1272,97950,181
bert,281,24,5e-05,models/checkpoints/bert_tokclf_baseline/bert_281_bs24_lr5e-05_f10_ep3,10,,dev,0.15990854725171638,0.9153962516207614,0.08989528083775329,0.256003098373354,0.1330649219929542,1921,6692,92530,661
bert,281,24,5e-05,,10,,test,,0.9218235681369322,0.06558653995949525,0.20810677212061296,0.09973939824686093,1602,5998,89195,421
